text,start,stop
"SPEAKER 1: It was about 1963
when a noted philosopher here",00:00:08.928,00:00:12.580
"at MIT, named Hubert Dreyfus--",00:00:12.580,00:00:15.885
"Hubert Dreyfus wrote a paper in
about 1963 in which he had",00:00:20.642,00:00:30.330
"a heading titled, ""Computers
Can't Play Chess."" Of course,",00:00:30.330,00:00:37.610
"he was subsequently invited
over to the artificial",00:00:37.610,00:00:40.110
"intelligence laboratory
to play the",00:00:40.110,00:00:41.670
Greenblatt chess machine.,00:00:41.670,00:00:43.420
"And, of course, he lost.",00:00:43.420,00:00:46.650
"Whereupon Seymour Pavitt wrote
a rebuttal to Dreyfus' famous",00:00:46.650,00:00:52.200
"paper, which had a subject
heading, ""Dreyfus Can't Play",00:00:52.200,00:00:56.240
"Chess Either.""",00:00:56.240,00:00:59.840
"But in a strange sense, Dreyfus
might have been right",00:00:59.840,00:01:02.390
"and would have been right if he
were to have said computers",00:01:02.390,00:01:07.000
"can't play chess the way
humans play chess yet.",00:01:07.000,00:01:11.690
"In any case, around about 1968
a chess master named David",00:01:11.690,00:01:16.630
"Levy bet noted founder of
artificial intelligence John",00:01:16.630,00:01:23.000
"McCarthy that no computer would
beat the world champion",00:01:23.000,00:01:25.440
within 10 years.,00:01:25.440,00:01:27.730
"And five years later, McCarthy
gave up, because it had",00:01:27.730,00:01:31.740
"already become clear that no
computer would win in a way",00:01:31.740,00:01:36.510
"that McCarthy wanted it to win,
that is to say by playing",00:01:36.510,00:01:39.590
"chess the way humans
play chess.",00:01:39.590,00:01:42.960
"But then 20 years after that
in 1997, Deep Blue beat the",00:01:42.960,00:01:48.160
"world champion, and chess
suddenly became uninteresting.",00:01:48.160,00:01:52.160
"But we're going to talk about
games today, because there are",00:01:54.910,00:01:58.690
"elements of game-play that do
model some of the things that",00:01:58.690,00:02:01.720
go on in our head.,00:02:01.720,00:02:03.750
"And if they don't model things
that go on in our head, they",00:02:03.750,00:02:06.050
"do model some kind
of intelligence.",00:02:06.050,00:02:08.610
"And if we're to have a general
understanding of what",00:02:08.610,00:02:10.490
"intelligence is all about, we
have to understand that kind",00:02:10.490,00:02:13.690
"of intelligence, too.",00:02:13.690,00:02:16.000
"So, we'll start out by talking
about various ways that we",00:02:16.000,00:02:18.790
"might design a computer
program to",00:02:18.790,00:02:20.330
play a game like chess.,00:02:20.330,00:02:22.360
"And we'll conclude by talking
a little bit about what Deep",00:02:22.360,00:02:26.930
"Blue adds to the mix other
than tremendous speed.",00:02:26.930,00:02:32.460
"So, that's our agenda.",00:02:32.460,00:02:34.300
"By the end of the hour, you'll
understand and be able to",00:02:34.300,00:02:37.320
"write your own Deep Blue
if you feel like it.",00:02:37.320,00:02:40.290
"First, we want to talk about how
it might be possible for a",00:02:40.290,00:02:44.270
computer to play chess.,00:02:44.270,00:02:45.590
"Let's talk about several
approaches",00:02:45.590,00:02:48.250
that might be possible.,00:02:48.250,00:02:50.220
"Approach number one is that
the machine might make a",00:02:50.220,00:02:53.860
"description of the board the
same way a human would; talk",00:02:53.860,00:02:56.980
"about pawn structure, King
safety, whether it's a good",00:02:56.980,00:03:00.000
"time to castle, that
sort of thing.",00:03:00.000,00:03:01.960
"So, it would be analysis and
perhaps some strategy mixed up",00:03:01.960,00:03:12.130
with some tactics.,00:03:12.130,00:03:13.380
"And all that would get mixed
up and, finally, result in",00:03:15.870,00:03:20.190
some kind of move.,00:03:20.190,00:03:22.710
"If this is the game board, the
next thing to do would be",00:03:22.710,00:03:27.450
"determined by some process
like that.",00:03:27.450,00:03:29.400
"And the trouble is no one
knows how to do it.",00:03:29.400,00:03:33.730
"And so in that sense,
Dreyfus is right.",00:03:33.730,00:03:35.180
"None the game playing programs
today incorporate any of that",00:03:35.180,00:03:38.830
kind of stuff.,00:03:38.830,00:03:41.350
"And since nobody knows
how to do that, we",00:03:41.350,00:03:43.600
can't talk about it.,00:03:43.600,00:03:44.420
"So we can talk about
other ways, though,",00:03:44.420,00:03:45.610
that we might try.,00:03:45.610,00:03:46.830
"For example, we can have
if-then rules.",00:03:46.830,00:03:48.450
How would that work?,00:03:55.820,00:03:56.740
That would work this way.,00:03:56.740,00:03:57.840
"You look at the board,
represented by this node here,",00:03:57.840,00:04:01.770
"and you say, well, if it's
possible to move the Queen",00:04:01.770,00:04:09.970
"pawn forward by one,
then do that.",00:04:09.970,00:04:13.390
"So, it doesn't do any of
evaluation of the board.",00:04:13.390,00:04:16.010
It doesn't try anything.,00:04:16.010,00:04:19.290
"It just says let me look at the
board and select a move on",00:04:19.290,00:04:22.360
that basis.,00:04:22.360,00:04:24.170
