text,start,stop
"The following content is
provided under a Creative",00:00:00.080,00:00:02.500
Commons license.,00:00:02.500,00:00:04.019
"Your support will help
MIT OpenCourseWare",00:00:04.019,00:00:06.360
"continue to offer high-quality
educational resources for free.",00:00:06.360,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.350
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.350,00:00:17.217
at ocw.mit.edu.,00:00:17.217,00:00:17.842
LING REN: All right.,00:00:21.257,00:00:22.090
Let's get started.,00:00:22.090,00:00:24.030
"Today's topic would be
distributed algorithms.",00:00:24.030,00:00:28.250
"We will look at
two new algorithms.",00:00:28.250,00:00:31.900
"But they are similar to what
you have seen in the lectures.",00:00:31.900,00:00:35.210
"So it will also be a review
of some concepts in lectures.",00:00:35.210,00:00:38.930
"So our first example
would be, again,",00:00:52.250,00:00:56.130
"[INAUDIBLE], the
simplest example.",00:00:56.130,00:00:59.390
"But this time, the network
and topology would be a ring.",00:01:05.670,00:01:11.730
"So in the lectures,
the example we see",00:01:21.810,00:01:25.700
"is a click, meaning they
are fully connected.",00:01:25.700,00:01:28.570
Right.,00:01:28.570,00:01:29.070
"Every node can talk
to every other node.",00:01:29.070,00:01:32.340
"There, if you remember,
our solution for everyone",00:01:32.340,00:01:36.240
"to generate a UID
or a random number.",00:01:36.240,00:01:39.100
"And if you are the maximum, then
you output, you're the leader",00:01:39.100,00:01:45.260
"You can do that because, yeah,
you are connected to everybody.",00:01:45.260,00:01:48.610
"So you immediately know
what random number everybody",00:01:48.610,00:01:52.000
generates.,00:01:52.000,00:01:52.640
"And you can compare whether
you are the largest.",00:01:52.640,00:01:55.870
"Now, the idea is the
same if we have a ring.",00:01:55.870,00:02:00.830
"So you want everyone to
generate a ID or random number.",00:02:00.830,00:02:04.940
I'll just say ID from now on.,00:02:04.940,00:02:07.550
"And you want to collect
everyone else ID",00:02:07.550,00:02:11.780
"so that you know
whether your ID is",00:02:11.780,00:02:13.840
the largest among all of them.,00:02:13.840,00:02:18.326
OK.,00:02:18.326,00:02:18.826
AUDIENCE: [INAUDIBLE],00:02:24.754,00:02:28.212
LING REN: Pardon?,00:02:29.480,00:02:30.188
AUDIENCE: [INAUDIBLE],00:02:30.188,00:02:33.152
LING REN: OK.,00:02:34.289,00:02:34.830
"The question is where did
the comparison happen?",00:02:34.830,00:02:39.270
"So we first need
some way to pass",00:02:39.270,00:02:42.200
"the numbers around
such that everyone",00:02:42.200,00:02:44.810
has everyone else's number.,00:02:44.810,00:02:47.370
Right.,00:02:47.370,00:02:47.870
"You have the number
of everyone, then",00:02:47.870,00:02:49.460
"you can compare whether
the largest equals yours.",00:02:49.460,00:02:52.791
OK.,00:02:52.791,00:02:53.290
"If the largest equals
yours, then you",00:02:53.290,00:02:55.000
know you are the largest.,00:02:55.000,00:02:56.041
"And you're going to
output, I'm the leader.",00:02:56.041,00:03:01.130
OK.,00:03:01.130,00:03:01.630
"So the difficulty is just
how to pass the numbers",00:03:01.630,00:03:05.300
"around so that everyone
sees everyone else's number.",00:03:05.300,00:03:08.220
Any ideas?,00:03:11.120,00:03:12.790
Simple solution.,00:03:12.790,00:03:13.520
"Well, there's not
much you can do.",00:03:39.755,00:03:41.590
"You are just connect to your
two neighbors, the left one",00:03:41.590,00:03:43.990
and the right one.,00:03:43.990,00:03:44.740
"So how do you propagate
the information?",00:03:54.800,00:03:56.835
Go ahead.,00:04:06.134,00:04:07.130
"AUDIENCE: You can take
the maximum of your ID",00:04:07.130,00:04:10.616
"and neighbor's IDs and
kind of broadcast that.",00:04:10.616,00:04:14.579
LING REN: OK.,00:04:14.579,00:04:15.120
"So what does
broadcast mean here?",00:04:15.120,00:04:16.519
"AUDIENCE: Like
tell your neighbors",00:04:16.519,00:04:17.935
"what the largest of
your value [INAUDIBLE]",00:04:17.935,00:04:21.720
LING REN: OK.,00:04:21.720,00:04:23.230
And yes.,00:04:23.230,00:04:25.170
"Let me call them A, B, C, E,
F. Then, yes, C can tell D",00:04:25.170,00:04:32.650
"or can tell B, but
how does C tell E?",00:04:32.650,00:04:35.167
"AUDIENCE: It waited around to
I guess propagate the maximum.",00:04:41.498,00:04:47.267
LING REN: Yep.,00:04:47.267,00:04:47.850
"So it would be just,
say, everyone talks",00:04:47.850,00:04:53.970
to its right neighbor.,00:04:53.970,00:04:55.660
"And then B has A's IDs, C
these B's ID, D has C's ID,",00:04:55.660,00:04:58.930
"and then continue and
pass around next time.",00:04:58.930,00:05:02.360
"So just to make
it perfect clear.",00:05:05.390,00:05:08.260
"Say they generate some
random IDs that's 5, 10, 20.",00:05:08.260,00:05:15.280
"And then in the next round,
A would send its ID to B, B",00:05:15.280,00:05:19.035
"would send its ID to C,
C would send its ID to D.",00:05:19.035,00:05:22.470
"And in the next round, B would
pass this information along",00:05:22.470,00:05:25.520
"to C. And C would pass
the information to D.",00:05:25.520,00:05:28.930
And just continue.,00:05:28.930,00:05:31.320
"And eventually everyone will
have everyone else's ID.",00:05:31.320,00:05:36.240
So how many rounds do we need?,00:05:36.240,00:05:38.720
"If they are in
nodes in the system.",00:05:51.790,00:05:58.001
"AUDIENCE: I think probably
in just one direction or two",00:05:58.001,00:06:00.292
neighbors.,00:06:00.292,00:06:02.110
"LING REN: I think you
can do it either way.",00:06:02.110,00:06:05.190
"If you propagate both ways,
it probably 2x faster, yeah.",00:06:05.190,00:06:09.914
AUDIENCE: [INAUDIBLE],00:06:09.914,00:06:11.390
"LING REN: Yeah, correct.",00:06:11.390,00:06:12.870
It's just O(n).,00:06:12.870,00:06:14.700
"But to keep it simple,
let's say we just",00:06:14.700,00:06:16.810
propagate in one direction.,00:06:16.810,00:06:18.240
That's also fine.,00:06:18.240,00:06:19.030
Still O(n).,00:06:19.030,00:06:21.340
"So how many messages
are sent in total?",00:06:21.340,00:06:25.983
AUDIENCE: n squared.,00:06:25.983,00:06:28.388
LING REN: Pardon?,00:06:28.388,00:06:29.487
AUDIENCE: n squared.,00:06:29.487,00:06:30.320
LING REN: n squared.,00:06:30.320,00:06:31.399
Yep.,00:06:31.399,00:06:31.898
Is that obvious to everyone?,00:06:34.590,00:06:37.660
OK.,00:06:37.660,00:06:38.160
Give an explanation.,00:06:38.160,00:06:40.132
"AUDIENCE: Yeah, at
each round everyone",00:06:40.132,00:06:41.715
"sends a message
to its neighbors.",00:06:41.715,00:06:44.900
LING REN: Yeah.,00:06:44.900,00:06:45.900
Yeah.,00:06:45.900,00:06:48.030
"Every round, everyone
sends a message.",00:06:48.030,00:06:50.350
"Or you can think of every
message as propagated n times.",00:06:50.350,00:06:54.550
"And there are n
messages in total.",00:06:54.550,00:06:58.700
OK.,00:06:58.700,00:07:00.171
Yeah.,00:07:00.171,00:07:00.670
That's definitely a solution.,00:07:00.670,00:07:04.180
"Well, you can imagine, it's
probably the naive solution.",00:07:04.180,00:07:07.000
And can we do better than that?,00:07:07.000,00:07:09.220
"AUDIENCE: In this case,
are we assuming they",00:07:14.566,00:07:16.996
know that there are n of them?,00:07:16.996,00:07:18.454
LING REN: OK.,00:07:21.380,00:07:22.280
Good question.,00:07:22.280,00:07:23.370
"So if they know
there are n of them,",00:07:23.370,00:07:25.989
"yep, then they know
how to terminate.",00:07:25.989,00:07:27.530
"So your question is how
to terminate, right?",00:07:27.530,00:07:30.230
"If they don't, eventually
you will receive your own ID",00:07:30.230,00:07:35.070
on the other side.,00:07:35.070,00:07:36.230
"If we keep sending
left, eventually you",00:07:36.230,00:07:38.850
"will receive it
on the left port.",00:07:38.850,00:07:40.600
"And, yeah, that's an
indication of termination.",00:07:40.600,00:07:44.265
Question?,00:07:47.498,00:07:47.998
"AUDIENCE: Are we
assuming the trajectory",00:07:47.998,00:07:49.664
that these are unique?,00:07:49.664,00:07:51.165
LING REN: Yeah.,00:07:51.165,00:07:51.790
"We usually assume that, yeah.",00:07:51.790,00:07:55.480
"Either it's a unique
user-- sorry, UID.",00:07:55.480,00:08:00.420
"What does U stand
for by the way?",00:08:00.420,00:08:02.260
"Or if you generate random
numbers in a large range,",00:08:02.260,00:08:06.630
"it's very unlikely
that they collide.",00:08:06.630,00:08:08.180
OK.,00:08:20.560,00:08:21.230
So can we do better than that?,00:08:21.230,00:08:22.480
You have some idea?,00:08:37.990,00:08:40.700
"AUDIENCE: Once
something [INAUDIBLE]",00:08:40.700,00:08:47.560
"where you only pass it
to the one that's bigger.",00:08:47.560,00:08:52.204
LING REN: Hm-mm.,00:08:52.204,00:08:52.870
OK.,00:08:52.870,00:08:53.200
I think you have two ideas.,00:08:53.200,00:08:54.490
"And binary search, we'll
see how that works later.",00:08:54.490,00:08:58.080
"So you said only forward
something that's larger?",00:08:58.080,00:09:01.250
0,00:09:01.250,00:09:02.580
"AUDIENCE: Yeah, like only
forward things are larger.",00:09:02.580,00:09:04.746
"LING REN: OK, yeah,
that's on the right track.",00:09:08.014,00:09:09.930
"So one obvious
thing we can do is",00:09:09.930,00:09:13.730
"that so we actually don't care
what all the IDs are, right.",00:09:13.730,00:09:18.920
"We only care whether a
certain ID's the largest.",00:09:18.920,00:09:23.100
"So for example, in this case,
when A send its ID 5 to B,",00:09:23.100,00:09:29.060
"B knows this 5
won't be the leader.",00:09:29.060,00:09:32.210
All right.,00:09:32.210,00:09:32.710
Because 5 is too small.,00:09:32.710,00:09:33.970
