text,start,stop
"OK, this is the lecture on
positive definite matrices.",00:00:05.560,00:00:14.460
"I made a start on those
briefly in a previous lecture.",00:00:14.460,00:00:20.770
"One point I wanted to make was
the way that this topic brings",00:00:20.770,00:00:26.180
"the whole course together,
pivots, determinants,",00:00:26.180,00:00:30.300
"eigenvalues, and something
new- four plot instability",00:00:30.300,00:00:36.190
"and then something new in this
expression, x transpose Ax,",00:00:36.190,00:00:42.050
"actually that's the guy
to watch in this lecture.",00:00:42.050,00:00:46.040
"So, so the topic is
positive definite matrix,",00:00:46.040,00:00:50.410
and what's my goal?,00:00:50.410,00:00:53.580
"First, first goal is, how
can I tell if a matrix is",00:00:53.580,00:00:58.440
positive definite?,00:00:58.440,00:00:59.970
"So I would like to
have tests to see",00:00:59.970,00:01:02.490
"if you give me a, a
five by five matrix,",00:01:02.490,00:01:06.100
"how do I tell if it's
positive definite?",00:01:06.100,00:01:09.000
"More important is,
what does it mean?",00:01:09.000,00:01:12.020
"Why are we so interested
in this property",00:01:12.020,00:01:14.700
of positive definiteness?,00:01:14.700,00:01:16.440
"And then, at the end
comes some geometry.",00:01:16.440,00:01:21.410
"Ellipses are connected with
positive definite things.",00:01:21.410,00:01:25.080
"Hyperbolas are not connected
with positive definite things,",00:01:25.080,00:01:28.520
"so we- it's this, we,
there's a geometry too,",00:01:28.520,00:01:33.350
"but mostly it's
linear algebra and --",00:01:33.350,00:01:38.410
"this application of how do you
recognize 'em when you have",00:01:38.410,00:01:43.020
a minim is pretty neat.,00:01:43.020,00:01:45.181
OK.,00:01:45.181,00:01:45.680
I'm gonna begin with two by two.,00:01:45.680,00:01:50.090
"All matrices are
symmetric, right?",00:01:50.090,00:01:52.280
"That's understood; the
matrix is symmetric,",00:01:52.280,00:01:55.180
"now my question is, is
it positive definite?",00:01:55.180,00:02:00.650
"Now, here are some --",00:02:00.650,00:02:04.030
"each one of these is a complete
test for positive definiteness.",00:02:04.030,00:02:09.570
"If I know the eigenvalues,
my test is are they positive?",00:02:09.570,00:02:15.010
Are they all positive?,00:02:15.010,00:02:18.140
If I know these --,00:02:18.140,00:02:21.650
"so, A is really --",00:02:21.650,00:02:24.170
"I look at that number A,
here, as the, as the one",00:02:24.170,00:02:27.570
"by one determinant, and here's
the two by two determinant.",00:02:27.570,00:02:33.420
So this is the determinant test.,00:02:33.420,00:02:35.510
"This is the eigenvalue test,
this is the determinant test.",00:02:35.510,00:02:39.280
"Are the determinants growing in
s- of all, of all end, sort of,",00:02:39.280,00:02:46.040
"can I call them
leading submatrices,",00:02:46.040,00:02:48.640
"they're the first
ones the northwest,",00:02:48.640,00:02:52.140
"Seattle submatrices coming
down from from there,",00:02:52.140,00:02:56.510
"they all, all those determinants
have to be positive,",00:02:56.510,00:02:59.570
"and then another
test is the pivots.",00:02:59.570,00:03:03.020
"The pivots of a
two by two matrix",00:03:03.020,00:03:06.370
"are the number A for sure,
and, since the product",00:03:06.370,00:03:13.070
"is the determinant,
the second pivot",00:03:13.070,00:03:15.410
"must be the determinant
divided by A.",00:03:15.410,00:03:18.980
"And then in here is gonna come
my favorite and my new idea,",00:03:18.980,00:03:24.970
"the, the, the the one to
catch, about x transpose Ax",00:03:24.970,00:03:30.450
being positive.,00:03:30.450,00:03:32.640
"But we'll have to
look at this guy.",00:03:32.640,00:03:35.280
"This gets, like a star, because
for most, presentations,",00:03:35.280,00:03:42.780
"the definition of
positive definiteness",00:03:42.780,00:03:45.610
"would be this number four and
these numbers one two three",00:03:45.610,00:03:49.370
would be test four.,00:03:49.370,00:03:51.260
OK.,00:03:51.260,00:03:51.760
"Maybe I'll tuck this,
where, you know,",00:03:51.760,00:03:56.160
OK.,00:03:56.160,00:03:56.660
"So I'll have to look
at this x transpose Ax.",00:03:56.660,00:04:00.000
"Can you, can we
just be sure, how",00:04:00.000,00:04:07.760
"do we know that the eigenvalue
test and the determinant test,",00:04:07.760,00:04:13.130
"pick out the same
matrices, and let me,",00:04:13.130,00:04:17.170
let's just do a few examples.,00:04:17.170,00:04:19.797
Some examples.,00:04:19.797,00:04:20.380
"Let me pick the matrix
two, six, six, tell me,",00:04:24.610,00:04:31.220
"what number do I have to
put there for the matrix",00:04:31.220,00:04:36.360
to be positive definite?,00:04:36.360,00:04:37.440
"Tell me a sufficiently
large number",00:04:40.150,00:04:42.090
"that would make it
positive definite?",00:04:42.090,00:04:45.020
"Let's just practice with
these conditions in the two",00:04:45.020,00:04:47.830
by two case.,00:04:47.830,00:04:49.370
"Now, when I ask
you that, you don't",00:04:49.370,00:04:51.490
