text,start,stop
"Let's say I have this matrix
B, here, and I want to know",00:00:00.410,00:00:03.820
what the null space of B is.,00:00:03.820,00:00:08.330
"And we've done this multiple
times but just as a review,",00:00:08.330,00:00:10.720
"the null space of B
is just all of the",00:00:10.720,00:00:14.000
x's that are a member.,00:00:14.000,00:00:18.570
"It's all the vector x's that
are member of what?",00:00:18.570,00:00:20.640
"1, 2, 3, 4, 5 that are members
of r to the fifth, where B, my",00:00:20.640,00:00:28.410
"matrix B, times any of these
vector x's, is equal to 0.",00:00:28.410,00:00:32.540
"That's the definition
of the null space.",00:00:32.540,00:00:34.000
"I'm just trying to find the
solution set to this equation",00:00:34.000,00:00:37.500
right here.,00:00:37.500,00:00:38.100
"And we've seen before, that the
null set of the reduced",00:00:38.100,00:00:43.030
"row echelon form of B is equal
to the null set of B.",00:00:43.030,00:00:49.830
"So what's the reduced row
echelon form of B?",00:00:49.830,00:00:53.180
"And this is actually almost
trivially easy.",00:00:53.180,00:00:56.340
"Let me just take a couple of
steps right here-- to get a 0",00:00:56.340,00:01:00.460
"here, let's just replace row
2 with row 2 minus row 1",00:01:00.460,00:01:06.940
So what do we get?,00:01:06.940,00:01:07.760
Row 2 minus row 1.,00:01:07.760,00:01:09.280
"Row 1 doesn't change, it's
just 1, 1, 2, 3, 2.",00:01:09.280,00:01:14.500
And then row 2 minus row 1.,00:01:14.500,00:01:16.800
1 minus 1 is 0.,00:01:16.800,00:01:19.110
1 minus 1 is 0.,00:01:19.110,00:01:21.050
3 minus 2 is 1.,00:01:21.050,00:01:23.670
1 minus 3 is minus 2.,00:01:23.670,00:01:28.080
4 minus is 2 is 2.,00:01:28.080,00:01:30.580
We're almost there.,00:01:30.580,00:01:32.230
"Let's see, so this is a free
variable right here.",00:01:32.230,00:01:34.250
"This is a pivot variable
right here.",00:01:34.250,00:01:35.780
We have a 1.,00:01:35.780,00:01:37.130
"So let me get rid of that
guy right there.",00:01:37.130,00:01:39.740
"And I can get rid of that guy
right there, by replacing row",00:01:39.740,00:01:43.060
"1 with row 1 minus
2 times row 2.",00:01:43.060,00:01:46.170
"So now row 2 is going
to be the same.",00:01:46.170,00:01:49.390
"0, 0, 1 minus 2, 2.",00:01:49.390,00:01:53.010
"And let me replace row 1 with
row 1 minus 2 times row 2.",00:01:53.010,00:01:57.550
So 1 minus 2 times 0 is 1.,00:01:57.550,00:01:59.450
1 minus 2 times 0 is 1.,00:01:59.450,00:02:01.510
2 minus 2 times 1 is 0.,00:02:01.510,00:02:04.800
3 minus 2 times minus 2.,00:02:04.800,00:02:08.870
"So that's 3 plus
4 is 7, right?",00:02:08.870,00:02:13.850
"2 times this is minus 4 and
we're subtracting it.",00:02:13.850,00:02:16.380
