text,start,stop
"The following
content is provided",00:00:00.070,00:00:01.780
"under a Creative
Commons license.",00:00:01.780,00:00:04.019
"Your support will help MIT
OpenCourseWare continue",00:00:04.019,00:00:06.870
"to offer high quality
educational resources for free.",00:00:06.870,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.340
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.340,00:00:17.217
at ocw.mit.edu.,00:00:17.217,00:00:17.842
"PROFESSOR: So last
time we started",00:00:21.010,00:00:22.590
talking about superfluid helium.,00:00:22.590,00:00:25.620
"And we said that the
phase diagram of helium-4,",00:00:25.620,00:00:32.070
"the isotope that is a boson
has the following interesting",00:00:32.070,00:00:36.710
properties.,00:00:36.710,00:00:37.700
"First of all, helium
stays a liquid",00:00:37.700,00:00:40.530
"all the way down
to 0 temperature",00:00:40.530,00:00:43.000
"because of the combinations
of its light mass and heat",00:00:43.000,00:00:45.990
interactions.,00:00:45.990,00:00:47.960
"And secondly, that [INAUDIBLE]
to cool down helium",00:00:47.960,00:00:53.970
"through this process
of evaporated cooling,",00:00:53.970,00:00:57.580
"one immediately observes
something interesting",00:00:57.580,00:00:59.550
"happening at temperatures
below 2 degrees",00:00:59.550,00:01:03.200
"Kelvin, where it becomes
this superfluid that",00:01:03.200,00:01:07.020
"has a number of
interesting properties.",00:01:07.020,00:01:10.000
"And in particular as
pertaining to viscosity,",00:01:10.000,00:01:13.430
we made two observations.,00:01:13.430,00:01:15.080
"First of all, you can
make these capillaries--",00:01:15.080,00:01:18.400
"and I'll show you been
movie in more detail later",00:01:18.400,00:01:20.880
"on where it flows through
capillaries as if there",00:01:20.880,00:01:24.710
"is no resistance
and there is nothing",00:01:24.710,00:01:28.440
"that sticks to the walls
of the capillaries.",00:01:28.440,00:01:31.010
"It flows without
viscosity, whereas there",00:01:31.010,00:01:33.770
"was this experiment of
Andronikashvili, in which you",00:01:33.770,00:01:37.190
"had something that
was oscillating",00:01:37.190,00:01:40.080
"and you were calculating
how much of the helium",00:01:40.080,00:01:44.760
"was stuck to the plates
of the container.",00:01:44.760,00:01:47.710
"And the result was
something like this,",00:01:47.710,00:01:50.920
"that is there was a decrease
in the amount of fluid",00:01:50.920,00:01:58.080
that is stuck to the plates.,00:01:58.080,00:01:59.460
"But it doesn't go
immediately down to 0.",00:01:59.460,00:02:02.705
"It has a kind of
form such as this",00:02:02.705,00:02:04.780
"that I will draw more
clearly now and explain.",00:02:04.780,00:02:10.560
"So what we did last time was
to note that people observed",00:02:10.560,00:02:16.250
